,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
31,32,0.26684721699999997,1.1.1.1,Target,TCP,60,"443  >  50380 [FIN, ACK] Seq=3843 Ack=823 Win=65535 Len=0",False,,,Exfiltration,3,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3843,823,65535,0,0.00015630499999996772,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1160,60,279,60,134,54,1330,54,1514,False,False,True,False,True,True,False,True,False,0.05848686,6.528999999999563e-05,5.778000000000727e-05,0.00010835900000000231,0.0006032899999999786,5.840000000006951e-06,0.00016858999999999624,2.078999999999276e-05,0.037869519000000046
32,33,0.267169836,Target,1.1.1.1,TCP,54,"50380  >  443 [FIN, ACK] Seq=823 Ack=3844 Win=36920 Len=0",True,Linux,Python,Exfiltration,3,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",823,3844,36920,0,0.00032261900000002397,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,1160,60,279,60,134,54,1330,54,False,False,False,True,False,True,True,False,True,0.00015630499999996772,0.05848686,6.528999999999563e-05,5.778000000000727e-05,0.00010835900000000231,0.0006032899999999786,5.840000000006951e-06,0.00016858999999999624,2.078999999999276e-05
33,34,0.26735178600000004,1.1.1.1,Target,TCP,60,443  >  50380 [ACK] Seq=3844 Ack=824 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3844,824,65535,0,0.0001819500000000418,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,54,60,1160,60,279,60,134,54,1330,True,False,False,False,True,False,True,True,False,0.00032261900000002397,0.00015630499999996772,0.05848686,6.528999999999563e-05,5.778000000000727e-05,0.00010835900000000231,0.0006032899999999786,5.840000000006951e-06,0.00016858999999999624
34,35,0.267674135,Target,1.1.1.1,TCP,74,50382  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403846062 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,3,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,0.00032234899999994404,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,54,60,1160,60,279,60,134,54,False,True,False,False,False,True,False,True,True,0.0001819500000000418,0.00032261900000002397,0.00015630499999996772,0.05848686,6.528999999999563e-05,5.778000000000727e-05,0.00010835900000000231,0.0006032899999999786,5.840000000006951e-06
35,36,0.302579292,1.1.1.1,Target,TCP,60,"443  >  50382 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,3,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.03490515700000002,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,74,60,54,60,1160,60,279,60,134,True,False,True,False,False,False,True,False,True,0.00032234899999994404,0.0001819500000000418,0.00032261900000002397,0.00015630499999996772,0.05848686,6.528999999999563e-05,5.778000000000727e-05,0.00010835900000000231,0.0006032899999999786
36,37,0.302672462,Target,1.1.1.1,TCP,54,50382  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,9.316999999997577e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,74,60,54,60,1160,60,279,60,False,True,False,True,False,False,False,True,False,0.03490515700000002,0.00032234899999994404,0.0001819500000000418,0.00032261900000002397,0.00015630499999996772,0.05848686,6.528999999999563e-05,5.778000000000727e-05,0.00010835900000000231
37,38,0.30316988100000003,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,3,Client Hello,,,,,,0.0004974190000000545,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,54,60,74,60,54,60,1160,60,279,True,False,True,False,True,False,False,False,True,9.316999999997577e-05,0.03490515700000002,0.00032234899999994404,0.0001819500000000418,0.00032261900000002397,0.00015630499999996772,0.05848686,6.528999999999563e-05,5.778000000000727e-05
38,39,0.303376651,1.1.1.1,Target,TCP,60,443  >  50382 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00020676999999996726,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1160,60,True,True,False,True,False,True,False,False,False,0.0004974190000000545,9.316999999997577e-05,0.03490515700000002,0.00032234899999994404,0.0001819500000000418,0.00032261900000002397,0.00015630499999996772,0.05848686,6.528999999999563e-05
39,40,0.343767813,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,3,"Server Hello, Change Cipher Spec",,,,,,0.04039116199999998,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1160,False,True,True,False,True,False,True,False,False,0.00020676999999996726,0.0004974190000000545,9.316999999997577e-05,0.03490515700000002,0.00032234899999994404,0.0001819500000000418,0.00032261900000002397,0.00015630499999996772,0.05848686
40,41,0.34379612299999995,Target,1.1.1.1,TCP,54,50382  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.8309999999975854e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.04039116199999998,0.00020676999999996726,0.0004974190000000545,9.316999999997577e-05,0.03490515700000002,0.00032234899999994404,0.0001819500000000418,0.00032261900000002397,0.00015630499999996772
