,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
31,32,2.248417919,1.1.1.1,Target,TCP,60,"443  >  50624 [FIN, ACK] Seq=3837 Ack=820 Win=65535 Len=0",False,,,Exfiltration,4,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3837,820,65535,0,0.00021828999999984333,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1154,60,276,60,134,54,1330,54,1514,False,False,True,False,True,True,False,True,False,0.04999874999999987,0.00011188600000000548,8.694000000364355e-06,7.871599999997869e-05,0.0004128889999996943,2.8400000000150527e-05,0.0002297399999999783,2.201999999984494e-05,0.033706332000000394
32,33,2.2487959159999997,Target,1.1.1.1,TCP,54,"50624  >  443 [FIN, ACK] Seq=820 Ack=3838 Win=36920 Len=0",True,Linux,Python,Exfiltration,4,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",820,3838,36920,0,0.00037799699999974123,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,1154,60,276,60,134,54,1330,54,False,False,False,True,False,True,True,False,True,0.00021828999999984333,0.04999874999999987,0.00011188600000000548,8.694000000364355e-06,7.871599999997869e-05,0.0004128889999996943,2.8400000000150527e-05,0.0002297399999999783,2.201999999984494e-05
33,34,2.2489495180000003,1.1.1.1,Target,TCP,60,443  >  50624 [ACK] Seq=3838 Ack=821 Win=65535 Len=0,False,,,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3838,821,65535,0,0.00015360200000058555,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,54,60,1154,60,276,60,134,54,1330,True,False,False,False,True,False,True,True,False,0.00037799699999974123,0.00021828999999984333,0.04999874999999987,0.00011188600000000548,8.694000000364355e-06,7.871599999997869e-05,0.0004128889999996943,2.8400000000150527e-05,0.0002297399999999783
34,35,11.251911397999999,Target,1.1.1.1,TCP,74,50626  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403936075 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,4,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,9.002961879999999,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,54,60,1154,60,276,60,134,54,False,True,False,False,False,True,False,True,True,0.00015360200000058555,0.00037799699999974123,0.00021828999999984333,0.04999874999999987,0.00011188600000000548,8.694000000364355e-06,7.871599999997869e-05,0.0004128889999996943,2.8400000000150527e-05
35,36,11.292160415,1.1.1.1,Target,TCP,60,"443  >  50626 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,4,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.04024901700000072,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,74,60,54,60,1154,60,276,60,134,True,False,True,False,False,False,True,False,True,9.002961879999999,0.00015360200000058555,0.00037799699999974123,0.00021828999999984333,0.04999874999999987,0.00011188600000000548,8.694000000364355e-06,7.871599999997869e-05,0.0004128889999996943
36,37,11.292206215,Target,1.1.1.1,TCP,54,50626  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,4.580000000053985e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,74,60,54,60,1154,60,276,60,False,True,False,True,False,False,False,True,False,0.04024901700000072,9.002961879999999,0.00015360200000058555,0.00037799699999974123,0.00021828999999984333,0.04999874999999987,0.00011188600000000548,8.694000000364355e-06,7.871599999997869e-05
37,38,11.292556895,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,4,Client Hello,,,,,,0.0003506800000003807,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,54,60,74,60,54,60,1154,60,276,True,False,True,False,True,False,False,False,True,4.580000000053985e-05,0.04024901700000072,9.002961879999999,0.00015360200000058555,0.00037799699999974123,0.00021828999999984333,0.04999874999999987,0.00011188600000000548,8.694000000364355e-06
38,39,11.292661805,1.1.1.1,Target,TCP,60,443  >  50626 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00010490999999923645,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1154,60,True,True,False,True,False,True,False,False,False,0.0003506800000003807,4.580000000053985e-05,0.04024901700000072,9.002961879999999,0.00015360200000058555,0.00037799699999974123,0.00021828999999984333,0.04999874999999987,0.00011188600000000548
39,40,11.345846908,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,4,"Server Hello, Change Cipher Spec",,,,,,0.053185103000000566,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1154,False,True,True,False,True,False,True,False,False,0.00010490999999923645,0.0003506800000003807,4.580000000053985e-05,0.04024901700000072,9.002961879999999,0.00015360200000058555,0.00037799699999974123,0.00021828999999984333,0.04999874999999987
40,41,11.345869107999999,Target,1.1.1.1,TCP,54,50626  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.2199999998306907e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.053185103000000566,0.00010490999999923645,0.0003506800000003807,4.580000000053985e-05,0.04024901700000072,9.002961879999999,0.00015360200000058555,0.00037799699999974123,0.00021828999999984333
