"No.","Time","Source","Destination","Protocol","Length","Info"
"1683","12.609798059","10.0.2.15","1.1.1.1","TCP","54","50574  >  443 [FIN, ACK] Seq=823 Ack=3843 Win=36920 Len=0"
"1684","12.609938808","1.1.1.1","10.0.2.15","TCP","60","443  >  50574 [ACK] Seq=3843 Ack=824 Win=65535 Len=0"
"1685","12.610285458","10.0.2.15","1.1.1.1","TCP","74","50576  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403858405 TSecr=0 WS=1024"
"1686","12.641420972","1.1.1.1","10.0.2.15","TCP","60","443  >  50576 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1687","12.641462672","10.0.2.15","1.1.1.1","TCP","54","50576  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1688","12.641757116","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1689","12.641889902","1.1.1.1","10.0.2.15","TCP","60","443  >  50576 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1690","12.674957523","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1691","12.674989133","10.0.2.15","1.1.1.1","TCP","54","50576  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1692","12.675221819","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"1693","12.675229949","10.0.2.15","1.1.1.1","TCP","54","50576  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"1694","12.675816983","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1695","12.675940202","1.1.1.1","10.0.2.15","TCP","60","443  >  50576 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"1696","12.675980053","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"1697","12.676064493","1.1.1.1","10.0.2.15","TCP","60","443  >  50576 [ACK] Seq=2737 Ack=823 Win=65535 Len=0"
"1698","12.727208366","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"1699","12.727954142","10.0.2.15","1.1.1.1","TCP","54","50576  >  443 [FIN, ACK] Seq=823 Ack=3843 Win=36920 Len=0"
"1700","12.728145306","1.1.1.1","10.0.2.15","TCP","60","443  >  50576 [ACK] Seq=3843 Ack=824 Win=65535 Len=0"
"1701","12.729223501","10.0.2.15","1.1.1.1","TCP","74","50578  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403858524 TSecr=0 WS=1024"
"1702","12.730385401","1.1.1.1","10.0.2.15","TCP","60","443  >  50576 [FIN, ACK] Seq=3843 Ack=824 Win=65535 Len=0"
"1703","12.730416330","10.0.2.15","1.1.1.1","TCP","54","50576  >  443 [ACK] Seq=824 Ack=3844 Win=36920 Len=0"
"1704","12.764373487","1.1.1.1","10.0.2.15","TCP","60","443  >  50578 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1705","12.764470977","10.0.2.15","1.1.1.1","TCP","54","50578  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1706","12.765008571","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1707","12.765487531","1.1.1.1","10.0.2.15","TCP","60","443  >  50578 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1708","12.803818760","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1709","12.803847280","10.0.2.15","1.1.1.1","TCP","54","50578  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1710","12.804028944","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"1711","12.804036914","10.0.2.15","1.1.1.1","TCP","54","50578  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"1712","12.804710434","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1713","12.804910093","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"1714","12.805003622","1.1.1.1","10.0.2.15","TCP","60","443  >  50578 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"1715","12.805056032","1.1.1.1","10.0.2.15","TCP","60","443  >  50578 [ACK] Seq=2737 Ack=823 Win=65535 Len=0"
"1716","12.860852595","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"1717","12.860883725","1.1.1.1","10.0.2.15","TCP","60","443  >  50578 [FIN, ACK] Seq=3843 Ack=823 Win=65535 Len=0"
"1718","12.861435075","10.0.2.15","1.1.1.1","TCP","54","50578  >  443 [FIN, ACK] Seq=823 Ack=3844 Win=36920 Len=0"
"1719","12.861578815","1.1.1.1","10.0.2.15","TCP","60","443  >  50578 [ACK] Seq=3844 Ack=824 Win=65535 Len=0"
"1720","12.861987764","10.0.2.15","1.1.1.1","TCP","74","50580  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403858657 TSecr=0 WS=1024"
"1721","12.897848615","1.1.1.1","10.0.2.15","TCP","60","443  >  50580 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1722","12.897917095","10.0.2.15","1.1.1.1","TCP","54","50580  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1723","12.898259819","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1724","12.898409459","1.1.1.1","10.0.2.15","TCP","60","443  >  50580 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1725","12.935847079","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1726","12.935868099","10.0.2.15","1.1.1.1","TCP","54","50580  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1727","12.936097743","1.1.1.1","10.0.2.15","TLSv1.3","1329","Application Data"
"1728","12.936104523","10.0.2.15","1.1.1.1","TCP","54","50580  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0"
"1729","12.936525103","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1730","12.936642023","1.1.1.1","10.0.2.15","TCP","60","443  >  50580 [ACK] Seq=2736 Ack=598 Win=65535 Len=0"
"1731","12.936667373","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"1732","12.939004261","1.1.1.1","10.0.2.15","TCP","60","443  >  50580 [ACK] Seq=2736 Ack=823 Win=65535 Len=0"
"1733","12.992912879","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"1734","12.993104004","1.1.1.1","10.0.2.15","TCP","60","443  >  50580 [FIN, ACK] Seq=3842 Ack=823 Win=65535 Len=0"
"1735","12.993398423","10.0.2.15","1.1.1.1","TCP","54","50580  >  443 [FIN, ACK] Seq=823 Ack=3843 Win=36920 Len=0"
"1736","12.993582833","1.1.1.1","10.0.2.15","TCP","60","443  >  50580 [ACK] Seq=3843 Ack=824 Win=65535 Len=0"
"1737","12.993901263","10.0.2.15","1.1.1.1","TCP","74","50582  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403858788 TSecr=0 WS=1024"
"1738","13.032961716","1.1.1.1","10.0.2.15","TCP","60","443  >  50582 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1739","13.033034606","10.0.2.15","1.1.1.1","TCP","54","50582  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1740","13.033475266","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1741","13.033644776","1.1.1.1","10.0.2.15","TCP","60","443  >  50582 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1742","13.075431586","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1743","13.075457646","10.0.2.15","1.1.1.1","TCP","54","50582  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1744","13.075733976","1.1.1.1","10.0.2.15","TLSv1.3","1331","Application Data"
"1745","13.075767116","10.0.2.15","1.1.1.1","TCP","54","50582  >  443 [ACK] Seq=518 Ack=2738 Win=34080 Len=0"
"1746","13.076346456","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1747","13.076470906","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"1748","13.076528301","1.1.1.1","10.0.2.15","TCP","60","443  >  50582 [ACK] Seq=2738 Ack=598 Win=65535 Len=0"
"1749","13.076669825","1.1.1.1","10.0.2.15","TCP","60","443  >  50582 [ACK] Seq=2738 Ack=823 Win=65535 Len=0"
"1750","13.135171276","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"1751","13.135340861","1.1.1.1","10.0.2.15","TCP","60","443  >  50582 [FIN, ACK] Seq=3844 Ack=823 Win=65535 Len=0"
"1752","13.135642965","10.0.2.15","1.1.1.1","TCP","54","50582  >  443 [FIN, ACK] Seq=823 Ack=3845 Win=36920 Len=0"
"1753","13.135776500","1.1.1.1","10.0.2.15","TCP","60","443  >  50582 [ACK] Seq=3845 Ack=824 Win=65535 Len=0"
"1754","13.136106985","10.0.2.15","1.1.1.1","TCP","74","50584  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403858931 TSecr=0 WS=1024"
"1755","13.171609320","1.1.1.1","10.0.2.15","TCP","60","443  >  50584 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1756","13.171681530","10.0.2.15","1.1.1.1","TCP","54","50584  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1757","13.172201970","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1758","13.172443429","1.1.1.1","10.0.2.15","TCP","60","443  >  50584 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1759","13.210755083","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1760","13.210777493","10.0.2.15","1.1.1.1","TCP","54","50584  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1761","13.210965183","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"1762","13.210971333","10.0.2.15","1.1.1.1","TCP","54","50584  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"1763","13.211502433","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1764","13.211580543","1.1.1.1","10.0.2.15","TCP","60","443  >  50584 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"1765","13.211652713","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"1766","13.211748963","1.1.1.1","10.0.2.15","TCP","60","443  >  50584 [ACK] Seq=2737 Ack=823 Win=65535 Len=0"
"1767","13.266179445","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
