"No.","Time","Source","Destination","Protocol","Length","Info"
"1795","604.343685626","1.1.1.1","10.0.2.15","TCP","60","443  >  50836 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1796","604.381230855","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1797","604.381253325","10.0.2.15","1.1.1.1","TCP","54","50836  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1798","604.381423920","1.1.1.1","10.0.2.15","TLSv1.3","1331","Application Data"
"1799","604.381431260","10.0.2.15","1.1.1.1","TCP","54","50836  >  443 [ACK] Seq=518 Ack=2738 Win=34080 Len=0"
"1800","604.381901879","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1801","604.381997669","1.1.1.1","10.0.2.15","TCP","60","443  >  50836 [ACK] Seq=2738 Ack=598 Win=65535 Len=0"
"1802","604.382025829","10.0.2.15","1.1.1.1","TLSv1.3","268","Application Data"
"1803","604.382114204","1.1.1.1","10.0.2.15","TCP","60","443  >  50836 [ACK] Seq=2738 Ack=812 Win=65535 Len=0"
"1804","604.438089706","1.1.1.1","10.0.2.15","TLSv1.3","1138","Application Data, Application Data"
"1805","604.438263870","1.1.1.1","10.0.2.15","TCP","60","443  >  50836 [FIN, ACK] Seq=3822 Ack=812 Win=65535 Len=0"
"1806","604.438532719","10.0.2.15","1.1.1.1","TCP","54","50836  >  443 [FIN, ACK] Seq=812 Ack=3823 Win=36920 Len=0"
"1807","604.438691625","1.1.1.1","10.0.2.15","TCP","60","443  >  50836 [ACK] Seq=3823 Ack=813 Win=65535 Len=0"
"1808","607.449827889","10.0.2.15","1.1.1.1","TCP","74","50838  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1404532273 TSecr=0 WS=1024"
"1809","607.480873547","1.1.1.1","10.0.2.15","TCP","60","443  >  50838 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1810","607.480930357","10.0.2.15","1.1.1.1","TCP","54","50838  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1811","607.481315457","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1812","607.483600896","1.1.1.1","10.0.2.15","TCP","60","443  >  50838 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1813","607.517211558","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1814","607.517234338","10.0.2.15","1.1.1.1","TCP","54","50838  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1815","607.517401128","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"1816","607.517407368","10.0.2.15","1.1.1.1","TCP","54","50838  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"1817","607.517907552","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1818","607.517988752","10.0.2.15","1.1.1.1","TLSv1.3","269","Application Data"
"1819","607.518072212","1.1.1.1","10.0.2.15","TCP","60","443  >  50838 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"1820","607.518091762","1.1.1.1","10.0.2.15","TCP","60","443  >  50838 [ACK] Seq=2737 Ack=813 Win=65535 Len=0"
"1821","607.568336998","1.1.1.1","10.0.2.15","TLSv1.3","1140","Application Data, Application Data"
"1822","607.568497597","1.1.1.1","10.0.2.15","TCP","60","443  >  50838 [FIN, ACK] Seq=3823 Ack=813 Win=65535 Len=0"
"1823","607.568781287","10.0.2.15","1.1.1.1","TCP","54","50838  >  443 [FIN, ACK] Seq=813 Ack=3824 Win=36920 Len=0"
"1824","607.568968447","1.1.1.1","10.0.2.15","TCP","60","443  >  50838 [ACK] Seq=3824 Ack=814 Win=65535 Len=0"
